issue_id,severity,issue_code,source_workbook,source_sheet,source_row,source_identifier,affected_entity_type,affected_entity_identifier,field_name,source_value,conflicting_values,related_source_rows,current_proposed_action,allowed_resolution_actions,resolution_status,resolution_value,resolution_reason,resolved_by,resolved_at
cc0a8cad-79bd-58b8-8323-4e61c9661a64,WARNING,MISSING_MACHINE,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,62,AUD-20260604-010,EOAT,P4-EOAT-0036,Press/Machine #,N/A,[],[],Import the audit and EOAT; defer the machine relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
e6b9105b-54c3-5b32-9d81-40a551e6f7c4,WARNING,MISSING_MACHINE,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,63,AUD-20260604-011,EOAT,P4-EOAT-0037,Press/Machine #,N/A,[],[],Import the audit and EOAT; defer the machine relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
9554e235-7158-5b55-a4d8-329244aff03d,WARNING,MISSING_MACHINE,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,65,AUD-20260604-013,EOAT,P4-EOAT-0039,Press/Machine #,N/A,[],[],Import the audit and EOAT; defer the machine relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
ffcda3dc-02d8-505c-9863-28c0c0538c1e,WARNING,MISSING_MACHINE,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,66,AUD-20260608-001,EOAT,P4-EOAT-0040,Press/Machine #,N/A,[],[],Import the audit and EOAT; defer the machine relationship.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
f1dfc7cb-d68b-5964-b95a-ad02f789c716,WARNING,CONFLICTING_EOAT_ATTRIBUTE,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,86,CL-EOAT-0052,EOAT,CL-EOAT-0052,Cleanroom/Non-Cleanroom,Unknown / Not Checked,"[""Cleanroom"", ""Unknown / Not Checked""]","[85, 86, 89]",Leave the normalized field unknown until an administrator resolves it.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
e4ee9ecf-d049-5b16-a9b8-4471351ea39f,WARNING,CONFLICTING_EOAT_ATTRIBUTE,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,89,CL-EOAT-0052,EOAT,CL-EOAT-0052,Cleanroom/Non-Cleanroom,Unknown / Not Checked,"[""Cleanroom"", ""Unknown / Not Checked""]","[85, 86, 89]",Leave the normalized field unknown until an administrator resolves it.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
a788593d-b577-5b30-8276-5e44eb478ea3,WARNING,CONFLICTING_CURRENT_ASSIGNMENT,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,,CL-EOAT-0050,EOAT,CL-EOAT-0050,Press/Machine #,51 | 52 | 55,"[""51"", ""52"", ""55""]","[81, 82, 83]",Do not create an active installation or storage assignment.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
1da75b2b-053d-5ff7-b2e6-66908c80d043,WARNING,CONFLICTING_CURRENT_ASSIGNMENT,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,,CL-EOAT-0052,EOAT,CL-EOAT-0052,Press/Machine #,63 | 65 | 66,"[""63"", ""65"", ""66""]","[85, 86, 89]",Do not create an active installation or storage assignment.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
d202667b-d0f2-5468-9b35-ce548ea4b614,WARNING,CONFLICTING_CURRENT_ASSIGNMENT,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,,CL-EOAT-0054,EOAT,CL-EOAT-0054,Press/Machine #,40 | 47 | 57,"[""40"", ""47"", ""57""]","[88, 92, 93]",Do not create an active installation or storage assignment.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
040abd5d-df80-5111-9008-1bf1e317f47e,WARNING,CONFLICTING_CURRENT_ASSIGNMENT,C:\Users\kgray\AppData\Local\EOAT Atlas Staging\rehearsals\4f26cee2-7849-48ba-b437-f8a2a5bb485e\frozen_source\01_EOAT_Audit\EOAT_Audit_Database\EOAT_Master_Tracker.xlsx,EOAT Inventory,,P4-EOAT-0057,EOAT,P4-EOAT-0057,Press/Machine #,41 | 42 | 48 | 50,"[""41"", ""42"", ""48"", ""50""]","[94, 95, 96, 97]",Do not create an active installation or storage assignment.,"[""DEFER"", ""SUPPLY_VERIFIED_VALUE"", ""MARK_NOT_APPLICABLE"", ""REJECT_WITH_REASON""]",UNRESOLVED,,,,
